ID,Specialty,Years_in_Practice,Practice_Setting,Country,Aware_of_Dermacure,First_Learned,Frequency_of_Info,Prescribed_Dermacure,Number_of_Patients,Not_Prescribed_Reasons,Overall_Effectiveness,Response_Time,Safety_Profile,Adverse_Effects,Barriers,Future_Prescribing_Intent,Alternative_Treatments,Dupilumab_Rating,Tralokinumab_Rating,Upadacitinib_Rating,Abrocitinib_Rating,Ruxolitinib_Rating,Influencing_Factors,Ranking_Factors,Patient_Severity,Biologic_Naive_Percentage,Comorbidities,Suitable_Patient_Profile,Patient_Journey,Switching_Stage,Additional_Comments
47,Allergy/Immunology,0-5 years,Community clinic,Germany,No,,,Yes,1-5,,Not effective,2-4 weeks,Inferior,,Lack of training,Likely,Abrocitinib,2,1,,,2,"Safety profile, Cost","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Moderate,26-50%,Psoriasis,Patients who failed topical corticosteroids,Topical -> Phototherapy -> Systemic,After failure of systemic therapies,Great potential
48,Dermatology,6-10 years,Hospital-based,Spain,Yes,CME,Rarely,No,,Insufficient clinical evidence,Unsure,More than 4 weeks,Unsure,Yes: Nausea,Limited clinical data,Neutral,Tralokinumab,,,,5,5,Safety profile,"Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Severe,0-25%,Food Allergies,Patients with severe symptoms,Topical -> Biologic,After failure of topical therapies,High patient satisfaction
49,Pediatrics,6-10 years,Private practice,Spain,Yes,,,Yes,More than 20,,Very effective,2-4 weeks,Unsure,,Side effect concerns,Very likely,"Tralokinumab, Upadacitinib",2,5,,5,1,"Safety profile, Cost, Clinical efficacy","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Mild,51-75%,"Psoriasis, Allergic Rhinitis",Patients who failed systemic therapies,Topical -> Systemic,After failure of systemic therapies,Great potential
50,Dermatology,6-10 years,Private practice,Germany,Yes,Other: Online research,Occasionally,Yes,6-10,,Effective,<2 weeks,Superior,Yes: Nausea,Side effect concerns,Likely,Dupilumab,3,5,2,,4,"Cost, Patient demand, Peer recommendations","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Severe,0-25%,Asthma,"Patients who failed topical corticosteroids, Patients who failed systemic therapies",Topical -> Phototherapy -> Systemic,After failure of topical therapies,Waiting for more data
51,General Practice,21+ years,Hospital-based,France,Yes,Other: Online research,Frequently,No,,Cost issues,Very effective,2-4 weeks,Inferior,Yes: Nausea,Limited clinical data,Very likely,"Dupilumab, Upadacitinib, Tralokinumab",,1,3,1,5,Safety profile,"Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Severe,Unsure,"Psoriasis, Food Allergies",Patients who failed systemic therapies,Topical -> Systemic,After failure of multiple systemic therapies,Waiting for more data
52,Pediatrics,21+ years,Hospital-based,Italy,Yes,Online webinar,Frequently,Yes,11-20,,Unsure,Unsure,Inferior,Yes: Dizziness,,Very unlikely,Upadacitinib,,1,3,4,4,"Safety profile, Patient demand, Peer recommendations","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Moderate,26-50%,Allergic Rhinitis,"Patients who failed systemic therapies, Patients who failed topical corticosteroids",Topical -> Phototherapy -> Systemic,After failure of multiple systemic therapies,High patient satisfaction
53,Dermatology,6-10 years,Community clinic,Spain,Yes,Peer recommendation,Occasionally,No,,Preference for alternative treatments,Somewhat effective,<2 weeks,Comparable,Yes: Mild headache,Limited clinical data,Likely,Upadacitinib,3,1,2,,3,"Cost, Clinical efficacy, Peer recommendations","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Moderate,0-25%,Psoriasis,"Patients who failed systemic therapies, Patients who failed topical corticosteroids",Topical -> Systemic,After failure of topical therapies,Great potential
54,Allergy/Immunology,6-10 years,Academic/Research institution,Germany,No,,,No,,Cost issues,Effective,<2 weeks,Unsure,Yes: Mild headache,Lack of training,Very likely,"Ruxolitinib Cream, Abrocitinib",4,4,,1,2,"Peer recommendations, Safety profile, Clinical efficacy","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Severe,0-25%,"Allergic Rhinitis, Psoriasis",Patients who failed systemic therapies,Topical -> Systemic,After failure of multiple systemic therapies,Great potential
55,General Practice,11-20 years,Private practice,Italy,Yes,Professional conference,Frequently,No,,Cost issues,Not effective,<2 weeks,Superior,Yes: Nausea,Cost issues,Neutral,Ruxolitinib Cream,,3,2,4,2,Peer recommendations,"Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Severe,0-25%,Asthma,"Patients who failed systemic therapies, Patients who failed topical corticosteroids",Topical -> Biologic,After failure of topical therapies,High patient satisfaction
56,Allergy/Immunology,11-20 years,Private practice,Germany,Yes,Pharmaceutical representative,Frequently,Yes,6-10,,Very effective,Unsure,Comparable,Yes: Mild headache,Limited clinical data,Likely,"Tralokinumab, Dupilumab, Abrocitinib",4,3,,4,4,"Clinical efficacy, Cost","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Mild,Unsure,"Psoriasis, Food Allergies",Patients who failed topical corticosteroids,Topical -> Systemic,After failure of systemic therapies,Waiting for more data
57,Pediatrics,21+ years,Academic/Research institution,Italy,Yes,Professional conference,Rarely,No,,Concerns about cost,Effective,2-4 weeks,Inferior,Yes: Dizziness,,Very likely,"Ruxolitinib Cream, Dupilumab, Tralokinumab",5,5,2,,5,"Patient demand, Cost","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Mild,Unsure,"Allergic Rhinitis, None",Patients who failed topical corticosteroids,Topical -> Biologic,After failure of topical therapies,High patient satisfaction
58,Pediatrics,6-10 years,Hospital-based,France,Yes,,,Yes,1-5,,Effective,<2 weeks,Comparable,Yes: Dizziness,Side effect concerns,Unlikely,"Dupilumab, Abrocitinib, Ruxolitinib Cream",2,5,2,4,5,"Cost, Safety profile","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Severe,Unsure,Allergic Rhinitis,Patients with severe symptoms,Topical -> Systemic,After failure of systemic therapies,High patient satisfaction
59,Allergy/Immunology,21+ years,Private practice,Germany,Yes,Other: Online research,Frequently,Yes,6-10,,Somewhat effective,Unsure,Unsure,Yes: Mild headache,Lack of training,Unlikely,"Upadacitinib, Dupilumab, Tralokinumab",4,5,3,2,5,"Peer recommendations, Patient demand","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Severe,76-100%,Allergic Rhinitis,"Patients who failed systemic therapies, Patients who failed topical corticosteroids",Topical -> Phototherapy -> Systemic,After failure of topical therapies,Waiting for more data
