ID,Specialty,Years_in_Practice,Practice_Setting,Country,Aware_of_Dermacure,First_Learned,Frequency_of_Info,Prescribed_Dermacure,Number_of_Patients,Not_Prescribed_Reasons,Overall_Effectiveness,Response_Time,Safety_Profile,Adverse_Effects,Barriers,Future_Prescribing_Intent,Alternative_Treatments,Dupilumab_Rating,Tralokinumab_Rating,Upadacitinib_Rating,Abrocitinib_Rating,Ruxolitinib_Rating,Influencing_Factors,Ranking_Factors,Patient_Severity,Biologic_Naive_Percentage,Comorbidities,Suitable_Patient_Profile,Patient_Journey,Switching_Stage,Additional_Comments
15,General Practice,0-5 years,Hospital-based,Germany,Yes,Other: Online research,Occasionally,Yes,More than 20,Lack of familiarity,Effective,2-4 weeks,Inferior,Yes: Dizziness,Lack of training,Unlikely,"Dupilumab, Ruxolitinib Cream, Upadacitinib",1.0,5.0,3.0,2.0,1.0,"Patient demand, Safety profile, Clinical efficacy","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Moderate,0-25%,Asthma,"Patients with severe symptoms, Patients who failed systemic therapies",Topical -> Phototherapy -> Systemic,After failure of systemic therapies,Waiting for more data
16,General Practice,21+ years,Private practice,France,Yes,Other: Online research,Occasionally,Yes,6-10,Lack of familiarity,Somewhat effective,Unsure,Comparable,Yes: Nausea,Limited clinical data,Likely,"Tralokinumab, Dupilumab",5.0,2.0,1.0,5.0,2.0,Clinical efficacy,"Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Moderate,76-100%,Asthma,"Patients who failed topical corticosteroids, Patients with severe symptoms",Topical -> Biologic,After failure of topical therapies,Waiting for more data
17,Dermatology,21+ years,Hospital-based,Spain,Yes,Online webinar,Rarely,Yes,More than 20,Lack of familiarity,Effective,2-4 weeks,Unsure,Yes: Nausea,Side effect concerns,Very unlikely,"Tralokinumab, Ruxolitinib Cream, Abrocitinib",4.0,5.0,5.0,4.0,4.0,Cost,"Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Severe,26-50%,"Allergic Rhinitis, None",Patients who failed systemic therapies,Topical -> Phototherapy -> Systemic,After failure of systemic therapies,High patient satisfaction
18,Allergy/Immunology,0-5 years,Private practice,Spain,No,Pharmaceutical representative,Occasionally,Yes,6-10,Lack of familiarity,Effective,<2 weeks,Unsure,Yes: Nausea,Limited clinical data,Very unlikely,"Ruxolitinib Cream, Tralokinumab",4.0,2.0,5.0,4.0,3.0,"Peer recommendations, Clinical efficacy, Cost","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Moderate,26-50%,"Food Allergies, Allergic Rhinitis","Patients who failed systemic therapies, Patients with severe symptoms",Topical -> Biologic,After failure of multiple systemic therapies,High patient satisfaction
19,Allergy/Immunology,11-20 years,Academic/Research institution,France,Yes,Online webinar,Occasionally,No,0,Lack of familiarity,Somewhat effective,2-4 weeks,Inferior,Yes: Mild headache,Lack of training,Unlikely,"Ruxolitinib Cream, Upadacitinib, Dupilumab",1.0,5.0,5.0,3.0,3.0,"Clinical efficacy, Safety profile, Peer recommendations","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Mild,0-25%,"Food Allergies, None","Patients who failed systemic therapies, Patients who failed topical corticosteroids",Topical -> Biologic,After failure of topical therapies,High patient satisfaction
20,General Practice,0-5 years,Hospital-based,Italy,Yes,CME,Frequently,Yes,1-5,Lack of familiarity,Effective,More than 4 weeks,Superior,Yes: Mild headache,Limited clinical data,Very likely,"Dupilumab, Ruxolitinib Cream",4.0,5.0,3.0,3.0,5.0,"Clinical efficacy, Peer recommendations, Cost","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Moderate,76-100%,"Asthma, Psoriasis","Patients who failed topical corticosteroids, Patients who failed systemic therapies",Topical -> Phototherapy -> Systemic,After failure of multiple systemic therapies,High patient satisfaction
21,General Practice,6-10 years,Academic/Research institution,Spain,Yes,Pharmaceutical representative,Occasionally,No,0,Preference for alternative treatments,Somewhat effective,2-4 weeks,Unsure,Yes: Dizziness,Lack of training,Neutral,"Dupilumab, Upadacitinib",4.0,5.0,2.0,5.0,5.0,"Peer recommendations, Patient demand, Clinical efficacy","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Severe,76-100%,"Asthma, Allergic Rhinitis","Patients with severe symptoms, Patients who failed topical corticosteroids",Topical -> Phototherapy -> Systemic,After failure of multiple systemic therapies,Great potential
22,Allergy/Immunology,0-5 years,Community clinic,Germany,No,Pharmaceutical representative,Occasionally,No,0,Cost issues,Unsure,Unsure,Unsure,Yes: Nausea,Cost issues,Very likely,Dupilumab,4.0,3.0,3.0,1.0,2.0,Safety profile,"Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Moderate,26-50%,Food Allergies,Patients with severe symptoms,Topical -> Systemic,After failure of topical therapies,Waiting for more data
23,General Practice,0-5 years,Private practice,Germany,Yes,Professional conference,Rarely,No,0,Lack of familiarity,Somewhat effective,No noticeable response,Inferior,Yes: Mild headache,Side effect concerns,Very unlikely,"Ruxolitinib Cream, Abrocitinib, Upadacitinib",4.0,5.0,4.0,1.0,2.0,Patient demand,"Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Mild,76-100%,"Food Allergies, Asthma",Patients with severe symptoms,Topical -> Biologic,After failure of systemic therapies,Great potential
24,General Practice,0-5 years,Academic/Research institution,Germany,Yes,Other: Online research,Occasionally,Yes,1-5,Lack of familiarity,Effective,No noticeable response,Unsure,Yes: Dizziness,Limited clinical data,Likely,"Upadacitinib, Dupilumab",5.0,5.0,5.0,2.0,1.0,"Patient demand, Safety profile","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Moderate,51-75%,"None, Food Allergies",Patients who failed topical corticosteroids,Topical -> Phototherapy -> Systemic,After failure of topical therapies,Limited evidence available
25,General Practice,6-10 years,Academic/Research institution,France,Yes,Pharmaceutical representative,Occasionally,Yes,More than 20,Lack of familiarity,Effective,More than 4 weeks,Inferior,Yes: Mild headache,Lack of training,Neutral,"Tralokinumab, Dupilumab, Abrocitinib",4.0,5.0,4.0,5.0,1.0,"Patient demand, Clinical efficacy, Safety profile","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Mild,51-75%,"Asthma, Allergic Rhinitis",Patients with severe symptoms,Topical -> Biologic,After failure of multiple systemic therapies,Great potential
26,Dermatology,0-5 years,Private practice,Italy,No,Pharmaceutical representative,Occasionally,Yes,6-10,Lack of familiarity,Effective,<2 weeks,Inferior,Yes: Mild headache,Side effect concerns,Likely,"Tralokinumab, Dupilumab",4.0,4.0,5.0,1.0,2.0,Cost,"Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Moderate,Unsure,"Food Allergies, Allergic Rhinitis",Patients who failed topical corticosteroids,Topical -> Phototherapy -> Systemic,After failure of systemic therapies,Great potential
27,General Practice,0-5 years,Academic/Research institution,France,Yes,Pharmaceutical representative,Rarely,Yes,More than 20,Lack of familiarity,Somewhat effective,No noticeable response,Unsure,Yes: Dizziness,Lack of training,Likely,"Upadacitinib, Dupilumab, Ruxolitinib Cream",3.0,5.0,2.0,3.0,1.0,"Safety profile, Peer recommendations, Cost","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Mild,51-75%,Asthma,"Patients with severe symptoms, Patients who failed topical corticosteroids",Topical -> Biologic,After failure of multiple systemic therapies,Limited evidence available
28,Pediatrics,21+ years,Community clinic,France,Yes,CME,Occasionally,Yes,1-5,Lack of familiarity,Somewhat effective,More than 4 weeks,Inferior,Yes: Nausea,Cost issues,Very likely,Ruxolitinib Cream,2.0,5.0,3.0,5.0,2.0,"Safety profile, Peer recommendations, Cost","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Severe,76-100%,"Allergic Rhinitis, None",Patients with severe symptoms,Topical -> Biologic,After failure of topical therapies,Waiting for more data
29,Pediatrics,0-5 years,Community clinic,Spain,No,Pharmaceutical representative,Occasionally,No,0,Insufficient clinical evidence,Not effective,Unsure,Comparable,Yes: Nausea,Lack of training,Very unlikely,"Upadacitinib, Dupilumab, Abrocitinib",4.0,1.0,5.0,5.0,1.0,Cost,"Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Severe,0-25%,"Asthma, Food Allergies","Patients who failed systemic therapies, Patients who failed topical corticosteroids",Topical -> Phototherapy -> Systemic,After failure of multiple systemic therapies,Limited evidence available
30,Pediatrics,0-5 years,Academic/Research institution,France,Yes,Online webinar,Occasionally,No,0,Lack of familiarity,Unsure,No noticeable response,Inferior,Yes: Nausea,Lack of training,Likely,"Tralokinumab, Dupilumab, Abrocitinib",3.0,1.0,1.0,3.0,3.0,Cost,"Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Moderate,Unsure,Asthma,"Patients who failed topical corticosteroids, Patients who failed systemic therapies",Topical -> Phototherapy -> Systemic,After failure of topical therapies,Great potential
31,General Practice,6-10 years,Academic/Research institution,Italy,No,Pharmaceutical representative,Occasionally,No,0,Lack of familiarity,Unsure,<2 weeks,Unsure,Yes: Dizziness,Limited clinical data,Very likely,"Tralokinumab, Abrocitinib, Ruxolitinib Cream",4.0,5.0,5.0,1.0,2.0,Cost,"Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Severe,Unsure,Asthma,Patients who failed topical corticosteroids,Topical -> Systemic,After failure of systemic therapies,Limited evidence available
32,Dermatology,21+ years,Community clinic,France,Yes,CME,Rarely,Yes,11-20,Lack of familiarity,Unsure,More than 4 weeks,Comparable,Yes: Dizziness,Lack of training,Unlikely,"Ruxolitinib Cream, Tralokinumab",4.0,1.0,4.0,4.0,3.0,"Safety profile, Patient demand, Clinical efficacy","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Moderate,0-25%,"None, Psoriasis",Patients who failed systemic therapies,Topical -> Biologic,After failure of multiple systemic therapies,Limited evidence available
33,Pediatrics,21+ years,Community clinic,Italy,Yes,CME,Occasionally,No,0,Cost issues,Very effective,<2 weeks,Unsure,Yes: Nausea,Side effect concerns,Very unlikely,Tralokinumab,4.0,5.0,5.0,3.0,4.0,"Peer recommendations, Cost","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Mild,26-50%,"Food Allergies, None","Patients who failed systemic therapies, Patients who failed topical corticosteroids",Topical -> Phototherapy -> Systemic,After failure of topical therapies,Great potential
34,Pediatrics,0-5 years,Private practice,France,No,Pharmaceutical representative,Occasionally,No,0,Insufficient clinical evidence,Somewhat effective,No noticeable response,Unsure,Yes: Mild headache,Lack of training,Very unlikely,Ruxolitinib Cream,5.0,5.0,3.0,1.0,3.0,"Clinical efficacy, Cost","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Severe,26-50%,Psoriasis,"Patients who failed systemic therapies, Patients with severe symptoms",Topical -> Phototherapy -> Systemic,After failure of systemic therapies,High patient satisfaction
35,Allergy/Immunology,11-20 years,Private practice,Italy,No,Pharmaceutical representative,Occasionally,Yes,6-10,Lack of familiarity,Effective,Unsure,Comparable,Yes: Dizziness,Lack of training,Very unlikely,"Dupilumab, Abrocitinib",2.0,2.0,5.0,1.0,4.0,"Cost, Patient demand","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Severe,Unsure,Asthma,Patients with severe symptoms,Topical -> Biologic,After failure of topical therapies,High patient satisfaction
36,Allergy/Immunology,6-10 years,Community clinic,Italy,No,Pharmaceutical representative,Occasionally,Yes,6-10,Lack of familiarity,Very effective,Unsure,Superior,Yes: Nausea,Side effect concerns,Likely,"Abrocitinib, Tralokinumab",2.0,5.0,1.0,4.0,3.0,"Patient demand, Safety profile","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Severe,76-100%,"Food Allergies, Asthma","Patients who failed topical corticosteroids, Patients who failed systemic therapies",Topical -> Phototherapy -> Systemic,After failure of systemic therapies,Waiting for more data
37,Pediatrics,0-5 years,Private practice,France,No,Pharmaceutical representative,Occasionally,Yes,6-10,Lack of familiarity,Somewhat effective,Unsure,Unsure,Yes: Dizziness,Lack of training,Unlikely,"Abrocitinib, Ruxolitinib Cream",2.0,5.0,4.0,5.0,2.0,Safety profile,"Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Moderate,51-75%,Asthma,"Patients who failed systemic therapies, Patients with severe symptoms",Topical -> Biologic,After failure of systemic therapies,Limited evidence available
38,Pediatrics,21+ years,Academic/Research institution,Germany,Yes,Peer recommendation,Rarely,Yes,1-5,Lack of familiarity,Somewhat effective,More than 4 weeks,Comparable,Yes: Mild headache,Lack of training,Unlikely,"Dupilumab, Upadacitinib",2.0,5.0,5.0,1.0,1.0,"Peer recommendations, Cost, Clinical efficacy","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Severe,51-75%,Asthma,"Patients with severe symptoms, Patients who failed topical corticosteroids",Topical -> Phototherapy -> Systemic,After failure of systemic therapies,High patient satisfaction
39,General Practice,11-20 years,Private practice,Spain,Yes,Medical journal/literature,Rarely,Yes,6-10,Lack of familiarity,Effective,<2 weeks,Inferior,Yes: Nausea,Lack of training,Unlikely,"Tralokinumab, Abrocitinib",5.0,4.0,3.0,5.0,2.0,"Patient demand, Peer recommendations, Cost","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Mild,Unsure,"Food Allergies, Asthma",Patients who failed topical corticosteroids,Topical -> Systemic,After failure of topical therapies,High patient satisfaction
40,Pediatrics,11-20 years,Private practice,Spain,Yes,Pharmaceutical representative,Occasionally,Yes,11-20,Lack of familiarity,Very effective,More than 4 weeks,Inferior,Yes: Nausea,Limited clinical data,Unlikely,"Abrocitinib, Ruxolitinib Cream",4.0,4.0,1.0,5.0,3.0,"Clinical efficacy, Cost","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Moderate,51-75%,"Food Allergies, Asthma",Patients who failed topical corticosteroids,Topical -> Systemic,After failure of topical therapies,Waiting for more data
41,Pediatrics,11-20 years,Community clinic,Spain,Yes,Pharmaceutical representative,Frequently,Yes,6-10,Lack of familiarity,Unsure,Unsure,Inferior,Yes: Nausea,Cost issues,Likely,"Tralokinumab, Abrocitinib, Dupilumab",2.0,5.0,4.0,4.0,2.0,Cost,"Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Mild,76-100%,Asthma,Patients who failed topical corticosteroids,Topical -> Phototherapy -> Systemic,After failure of multiple systemic therapies,Great potential
42,Pediatrics,0-5 years,Community clinic,Spain,No,Pharmaceutical representative,Occasionally,Yes,6-10,Lack of familiarity,Somewhat effective,Unsure,Inferior,Yes: Nausea,Limited clinical data,Neutral,"Tralokinumab, Upadacitinib, Dupilumab",4.0,1.0,3.0,5.0,5.0,Safety profile,"Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Severe,76-100%,Asthma,"Patients with severe symptoms, Patients who failed topical corticosteroids",Topical -> Phototherapy -> Systemic,After failure of topical therapies,Great potential
43,Dermatology,0-5 years,Community clinic,France,Yes,Pharmaceutical representative,Occasionally,Yes,11-20,Lack of familiarity,Unsure,No noticeable response,Inferior,Yes: Nausea,Lack of training,Very unlikely,Tralokinumab,2.0,4.0,5.0,2.0,4.0,Peer recommendations,"Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Mild,76-100%,"Asthma, Psoriasis",Patients who failed systemic therapies,Topical -> Phototherapy -> Systemic,After failure of systemic therapies,Limited evidence available
44,General Practice,21+ years,Academic/Research institution,Germany,No,Pharmaceutical representative,Occasionally,No,0,Cost issues,Very effective,<2 weeks,Superior,Yes: Mild headache,Side effect concerns,Unlikely,"Ruxolitinib Cream, Tralokinumab, Abrocitinib",3.0,3.0,5.0,2.0,5.0,Cost,"Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Severe,76-100%,"Allergic Rhinitis, Psoriasis","Patients who failed topical corticosteroids, Patients with severe symptoms",Topical -> Phototherapy -> Systemic,After failure of multiple systemic therapies,High patient satisfaction
45,Dermatology,0-5 years,Private practice,Spain,Yes,Pharmaceutical representative,Occasionally,Yes,6-10,Lack of familiarity,Somewhat effective,No noticeable response,Superior,Yes: Nausea,Cost issues,Very likely,Dupilumab,3.0,2.0,1.0,1.0,2.0,"Clinical efficacy, Patient demand, Peer recommendations","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Moderate,Unsure,"Asthma, Food Allergies","Patients with severe symptoms, Patients who failed systemic therapies",Topical -> Systemic,After failure of topical therapies,Great potential
46,Allergy/Immunology,0-5 years,Academic/Research institution,Germany,No,Pharmaceutical representative,Occasionally,Yes,1-5,Lack of familiarity,Very effective,Unsure,Superior,Yes: Nausea,Lack of training,Very likely,"Abrocitinib, Dupilumab",4.0,2.0,5.0,5.0,3.0,"Cost, Clinical efficacy, Peer recommendations","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Mild,51-75%,Asthma,Patients who failed systemic therapies,Topical -> Systemic,After failure of systemic therapies,High patient satisfaction
47,Allergy/Immunology,0-5 years,Community clinic,Germany,No,Pharmaceutical representative,Occasionally,Yes,1-5,Lack of familiarity,Not effective,2-4 weeks,Inferior,Yes: Nausea,Lack of training,Likely,Abrocitinib,2.0,1.0,5.0,5.0,2.0,"Safety profile, Cost","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Moderate,26-50%,Psoriasis,Patients who failed topical corticosteroids,Topical -> Phototherapy -> Systemic,After failure of systemic therapies,Great potential
48,Dermatology,6-10 years,Hospital-based,Spain,Yes,CME,Rarely,No,0,Insufficient clinical evidence,Unsure,More than 4 weeks,Unsure,Yes: Nausea,Limited clinical data,Neutral,Tralokinumab,4.0,5.0,5.0,5.0,5.0,Safety profile,"Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Severe,0-25%,Food Allergies,Patients with severe symptoms,Topical -> Biologic,After failure of topical therapies,High patient satisfaction
49,Pediatrics,6-10 years,Private practice,Spain,Yes,Pharmaceutical representative,Occasionally,Yes,More than 20,Lack of familiarity,Very effective,2-4 weeks,Unsure,Yes: Nausea,Side effect concerns,Very likely,"Tralokinumab, Upadacitinib",2.0,5.0,5.0,5.0,1.0,"Safety profile, Cost, Clinical efficacy","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Mild,51-75%,"Psoriasis, Allergic Rhinitis",Patients who failed systemic therapies,Topical -> Systemic,After failure of systemic therapies,Great potential
50,Dermatology,6-10 years,Private practice,Germany,Yes,Other: Online research,Occasionally,Yes,6-10,Lack of familiarity,Effective,<2 weeks,Superior,Yes: Nausea,Side effect concerns,Likely,Dupilumab,3.0,5.0,2.0,5.0,4.0,"Cost, Patient demand, Peer recommendations","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Severe,0-25%,Asthma,"Patients who failed topical corticosteroids, Patients who failed systemic therapies",Topical -> Phototherapy -> Systemic,After failure of topical therapies,Waiting for more data
51,General Practice,21+ years,Hospital-based,France,Yes,Other: Online research,Frequently,No,0,Cost issues,Very effective,2-4 weeks,Inferior,Yes: Nausea,Limited clinical data,Very likely,"Dupilumab, Upadacitinib, Tralokinumab",4.0,1.0,3.0,1.0,5.0,Safety profile,"Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Severe,Unsure,"Psoriasis, Food Allergies",Patients who failed systemic therapies,Topical -> Systemic,After failure of multiple systemic therapies,Waiting for more data
52,Pediatrics,21+ years,Hospital-based,Italy,Yes,Online webinar,Frequently,Yes,11-20,Lack of familiarity,Unsure,Unsure,Inferior,Yes: Dizziness,Lack of training,Very unlikely,Upadacitinib,4.0,1.0,3.0,4.0,4.0,"Safety profile, Patient demand, Peer recommendations","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Moderate,26-50%,Allergic Rhinitis,"Patients who failed systemic therapies, Patients who failed topical corticosteroids",Topical -> Phototherapy -> Systemic,After failure of multiple systemic therapies,High patient satisfaction
53,Dermatology,6-10 years,Community clinic,Spain,Yes,Peer recommendation,Occasionally,No,0,Preference for alternative treatments,Somewhat effective,<2 weeks,Comparable,Yes: Mild headache,Limited clinical data,Likely,Upadacitinib,3.0,1.0,2.0,5.0,3.0,"Cost, Clinical efficacy, Peer recommendations","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Moderate,0-25%,Psoriasis,"Patients who failed systemic therapies, Patients who failed topical corticosteroids",Topical -> Systemic,After failure of topical therapies,Great potential
